synset_id,synset_name,definition
n01440764,tench,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water
n01443537,goldfish,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes
n01484850,great_white_shark,large aggressive shark widespread in warm seas; known to attack humans
n01491361,tiger_shark,large dangerous warm-water shark with striped or spotted body
n01494475,hammerhead,medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous
n01496331,electric_ray,any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges
n01498041,stingray,large venomous ray with large barbed spines near the base of a thin whiplike tail capable of inflicting severe wounds
n01514668,cock,adult male bird
n01514859,hen,adult female bird
n01518878,ostrich,fast-running African flightless bird with two-toed feet; largest living bird
n01530575,brambling,Eurasian finch
n01531178,goldfinch,small European finch having a crimson face and yellow-and-black wings
n01532829,house_finch,small finch originally of the western United States and Mexico
n01534433,junco,small North American finch seen chiefly in winter
n01537544,indigo_bunting,small deep blue North American bunting
n01558993,robin,large American thrush having a rust-red breast and abdomen
n01560419,bulbul,nightingale spoken of in Persian poetry
n01580077,jay,crested largely blue bird
n01582220,magpie,long-tailed black-and-white crow that utters a raucous chattering call
n01592084,chickadee,any of various small grey-and-black songbirds of North America
n01601694,water_ouzel,small stocky diving bird without webbed feet; frequents fast-flowing streams and feeds along the bottom
n01608432,kite,any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals
n01614925,bald_eagle,a large eagle of North America that has a white head and dark wings and body
n01616318,vulture,any of various large diurnal birds of prey having naked heads and weak claws and feeding chiefly on carrion
n01622779,great_grey_owl,large dish-faced owl of northern North America and western Eurasia
n01629819,european_fire_salamander,a kind of European salamander
n01630670,common_newt,small semiaquatic salamander
n01631663,eft,a newt in its terrestrial stage of development
n01632458,spotted_salamander,glossy black North American salamander with yellow spots
n01632777,axolotl,larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
n01641577,bullfrog,largest North American frog; highly aquatic with a deep-pitched voice
n01644373,tree_frog,any of various Old World arboreal frogs distinguished from true frogs by adhesive suckers on the toes
n01644900,tailed_frog,western North American frog with a taillike copulatory organ
n01664065,loggerhead,very large carnivorous sea turtle; wide-ranging in warm open seas
n01665541,leatherback_turtle,wide-ranging marine turtle with flexible leathery carapace; largest living turtle
n01667114,mud_turtle,bottom-dwelling freshwater turtle inhabiting muddy rivers of North America and Central America
n01667778,terrapin,any of various edible North American web-footed turtles living in fresh or brackish water
